Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,Enthalpy value of water,Enthalpy value of air,Enthalpy Temperature,H/D,110 AI Data,111 AI Data,112 AI Data,113 AI Data,114 AI Data,115 AI Data,116 AI Data,117 AI Data,118 AI Data,119 AI Data,120 AI Data,200 AI Data,201 AI Data,300 AI Data,301 AI Data,401 AI Data,501 AI Data,601 AI Data,801 AI Data,701 AI Data
0.0133,3.658,0,2038,0.377,164,254,,,,275.0375939849624,,1607.504975593176,1739.1116174003964,,,,,,,1285.5604555886307,857.9131884609759,,2642.823410059885,,1575.9657345660255,2480.596,2587.104175414249,2586.9726562100186,833.0253893546235,1980.2062376251831
0.0133,3.658,1500,2038,0.377,164,254,844.7169147855876,2791.010536295325,471.4452428824141,275.0375939849624,,1639.0134556531152,1716.5886601481488,,,,,,,1550.2452969147764,1380.5068253336508,,2469.8602072306244,1634.8058083335654,2354.8739093013824,2470.966,2476.022361435196,2475.909735141753,1343.4506668530114,1918.3921637036683
0.0133,3.658,3000,2038,0.377,164,254,1008.3713699254112,2803.264738970161,507.0084450062522,275.0375939849624,,1626.9488003464876,1665.0575831119984,,,,,,,1872.854480308572,1804.0949373666672,,2288.071761174562,1625.4351449348594,2993.187174177452,2462.326,2364.940547456143,2364.846814073488,1238.7704926727204,1856.5780897821544
0.0133,3.658,4500,2038,0.377,164,254,1122.142992781657,2797.9970220803752,530.5893713108469,275.0375939849624,,1550.3794403461932,1594.7235921222243,,,,,,,1775.494210662203,1883.609357585523,,2155.015138209161,1546.2483871234892,3153.690548812131,2428.0660000000003,2253.85873347709,2253.783893005223,1183.0163483609072,1794.7640158606391
0.0133,3.658,6000,2038,0.377,164,254,1213.7310823707326,2784.561732103704,548.7364107560508,275.0375939849624,,1424.1329682265996,1505.9837040646223,,,,,,,1541.794545339685,1585.4488640453148,,2088.870449428576,1404.4238212372095,2686.36196601998,2400.5440000000003,2142.776919498037,2142.720971936958,1111.584572504806,1732.9499419391293
0.0133,3.658,7500,2038,0.377,164,254,1292.696357315679,2765.820769483408,563.6867383617717,275.0375939849624,,1287.4006112740565,1376.3975206128223,,,,,,,1244.4993314812475,1218.51022749494,,2010.0316320716968,1290.0110955755392,2270.403297224316,2338.5170000000007,2031.6951055189838,2031.6580508686927,1036.3032542801768,1671.1358680176158
0.0133,3.658,9000,2038,0.377,164,254,1363.65073789756,2742.8819455290545,576.4968049748147,275.0375939849624,,1134.3480789024934,1212.402384868919,,,,,,,918.2263141121052,860.7749782432388,,1868.6932886902755,1152.1582757286494,2006.580569358567,2020.0354800000007,1920.613291539931,1920.595129800428,1027.2520535635542,1609.3217940961038
0.0133,3.658,10500,2038,0.377,164,254,1429.2690229207622,2716.144231496298,587.7558483847924,275.0375939849624,,1005.370118275779,1050.0955684865498,,,,,,,697.4235696944409,581.8097670076977,,1710.5469109110072,1052.6459064404244,1786.997306368871,1927.80004,1809.5314775608779,1809.5322087321624,922.7730077723376,1547.50772017459
0.0133,3.658,12000,2038,0.377,164,254,1491.327052267867,2685.582734291745,597.8283043018174,275.0375939849624,,895.4234486601439,910.3394582628566,,,,,,,639.9094311723934,440.2732679739622,,1578.5536165531273,962.210655068118,1628.818044949635,1775.0941900000005,1698.449663581825,1698.4692876638974,818.2939619811211,1485.693646253077
0.0133,3.658,13500,2038,0.377,164,254,1551.1915518335943,2650.774869127902,606.956030413917,275.0375939849624,,834.6988802494284,837.4662763158075,,,,,,,552.2759181027977,394.8149620293193,,1466.312657867206,876.6878613801298,1462.970361380469,1689.3097200000002,1587.367849602772,1587.4063665956323,806.5098850600307,1423.8795723315648
0.0133,3.658,15000,2038,0.377,164,254,1610.1517856556293,2610.8647587695787,615.3078712489821,275.0375939849624,,798.2676493210771,806.0055623221473,,,,,,,544.1072092586837,415.136458604238,,1370.4030453139185,795.6162768873872,1386.1581628734073,1562.9621,1476.2860356237188,1476.343445527367,795.0930114078292,1362.065498410051
0.0133,3.658,16500,2038,0.377,164,254,1669.68361979341,2564.5660388557776,623.0061528612805,275.0375939849624,,770.6806826647883,790.6086665427359,,,,,,,666.7009291777415,518.1312919321831,,1289.1416772748184,753.4681071584416,1286.6020119772625,1394.65317,1365.204221644666,1365.280524459102,783.6761377556297,1300.2514244885406
0.0133,3.658,18000,2038,0.377,164,254,1732.0233657752308,2509.529689109513,630.1418133443477,275.0375939849624,,759.5736255170864,773.3679152237082,,,,,,,793.0828254475101,604.8996083295572,,1215.9316662943563,721.85332744157,1184.6711238992038,1377.3129799999997,1254.122407665613,1254.217603390837,718.5627679176862,1238.4373505670244
0.0133,3.658,19500,2038,0.377,164,254,1801.080611192658,2440.0048040174115,636.7830647273038,275.0375939849624,,744.3377208289864,737.4632020070708,,,,,,,766.0757872185559,582.8058815974266,,1147.931951260542,689.2995437047805,1081.9004637879757,1368.37525,1143.04059368656,1143.1546823225715,638.7185816599638,1176.623276645512
0.0133,3.658,21000,2038,0.377,164,254,1889.3963243039148,2337.5432149151534,642.9773430240623,275.0375939849624,,726.1942050874961,695.3590510561855,,,,,,,664.8111574989416,523.2357625621787,,1082.7269542932822,585.3395227734161,984.4935487042408,1365.3427,1031.958779707507,1032.091761254307,558.8743954022414,1114.809202723999
