Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,Enthalpy value of water,Enthalpy value of air,Enthalpy Temperature,H/D,110 AI Data,111 AI Data,112 AI Data,113 AI Data,114 AI Data,115 AI Data,116 AI Data,117 AI Data,118 AI Data,119 AI Data,120 AI Data,200 AI Data,201 AI Data,300 AI Data,301 AI Data,401 AI Data,501 AI Data,601 AI Data,801 AI Data
0.008,1,17650,2000,-0.14,0,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,935.6930411409172,899.9986504047968,931.9670982350502,921.3536395835732,879.0903000344435,1005.7154380002185,607.3051776297243,7009.314956810233,979.3939163451098,2661.2953590118177,2647.2767063523665,1014.1644819502988,1866.0584173691043,932.2898393621224,2277.0689165865574,1232.32111,847.3708986840367,851.312218638587,1393.374293218673
0.008,1,17650,2000,-0.14,100,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,1110.4259126898733,1082.1925625329063,1130.2268208065884,1100.6416008492752,1098.036097120741,1170.57041037117,728.225140433869,7009.314956810233,1140.4008031878827,2661.2953590118177,2647.2767063523665,1138.980770689182,1639.5662518163867,1089.462870885141,1929.409959335315,1396.2368399999998,1008.9641064900246,1012.4185717741382,1403.0426194394638
0.008,1,17650,2000,-0.14,200,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,1306.5756273902252,1286.800570818815,1338.1617569541352,1295.3330986583203,1323.6527313123688,1355.8830149776368,870.2290543803276,7009.314956810233,1333.0935733556223,2661.2953590118177,2647.2767063523665,1300.4980002400928,1448.0357576387482,1289.919263297172,1471.9038727763684,1419.611849999999,1170.5573142960127,1173.5249249096894,1515.899334269264
0.008,1,17650,2000,-0.14,300,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,1512.6931287517975,1500.823451017602,1546.4510490084708,1519.996142866395,1543.7102159978178,1563.9872906054377,1038.186354489948,7009.314956810233,1553.6469570876584,2661.2953590118177,2647.2767063523665,1497.1088922784752,1289.184605070233,1509.881713907358,1082.8758971414604,1562.4155299999998,1332.1505221020009,1334.6312780452406,1628.7560490990652
0.008,1,17650,2000,-0.14,400,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,1751.345238644307,1715.9790380192348,1744.3417585585426,1744.7220668079462,1756.4924414043512,1756.2613250317736,1248.1471031088347,7009.314956810233,1773.2609217520308,2661.2953590118177,2647.2767063523665,1705.532564934368,1161.376130405888,1717.4699073096228,779.3760989567284,1662.5919000000004,1493.7437299079886,1495.737631180792,1863.1299720787783
0.008,1,17650,2000,-0.14,500,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,1991.9630739530835,1947.885038933101,1987.8200317797816,1987.7567192107983,1999.3604699250573,1987.705419309428,1503.101422782228,7009.314956810233,2006.980307771724,2661.2953590118177,2647.2767063523665,1935.6603767912443,1039.4939683420937,1943.397068366092,620.5798749927324,1819.29614,1655.3369377139766,1656.8439843163433,2054.0859481635252
0.008,1,17650,2000,-0.14,600,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,2223.9187560821124,2202.831508274847,2200.4404063532447,2206.523132661396,2214.6600132726667,2247.144211290259,1827.876740360938,7009.314956810233,2235.0723460113627,2661.2953590118177,2647.2767063523665,2182.239803758957,937.446772027177,2147.23420254462,506.9135237629373,1877.55519,1816.9301455199643,1817.9503374518945,2154.1177261432344
0.008,1,17650,2000,-0.14,700,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,2465.257019409404,2451.5200774427326,2420.8353841484995,2437.7251710937458,2448.754768473589,2507.739456734245,2193.6210533059884,7009.314956810233,2485.328016882019,2661.2953590118177,2647.2767063523665,2441.463968621223,864.8368489359848,2344.7613539864547,411.5432361089454,1915.51414,1978.5233533259525,1979.0566905874457,2402.5809809232874
0.008,1,17650,2000,-0.14,800,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,2710.5660326614934,2680.283200453174,2650.487420845203,2697.3197957153347,2703.280071079992,2733.724178983792,2606.665209397176,7009.314956810233,2713.6826380426146,2661.2953590118177,2647.2767063523665,2709.470970689185,823.6789119772857,2558.603913727487,375.28845976506045,1941.92028,2140.1165611319407,2140.163043722997,2674.193968860867
0.008,1,17650,2000,-0.14,900,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,2946.303665425048,2913.473246436482,2912.4589171799694,2977.715522369783,2962.3059142708453,2944.589494518208,3117.112082660612,7009.314956810233,2958.406837162478,2661.2953590118177,2647.2767063523665,2982.6548277139955,810.3545986209036,2832.8710690856424,347.03257844475456,1994.56104,2301.7097689379284,2301.269396858548,2945.806956798446
0.008,1,17650,2000,-0.14,1000,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,3188.713178842549,3173.675358655721,3153.4810801441195,3232.237314858108,3205.403600567766,3149.563598632856,3762.3804093382814,7009.314956810233,3200.294576271074,2661.2953590118177,2647.2767063523665,3251.076308319341,818.0956422678272,3090.833725971059,326.01731177510374,2012.37104,2463.3029767439166,2462.3757499941,3217.419944736024
0.008,1,17650,2000,-0.14,1100,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,3440.3399777289533,3465.395010834264,3390.303339393804,3458.4685043175696,3419.4054437750983,3399.466550070692,4431.223732577036,7009.314956810233,3428.614475723114,2661.2953590118177,2647.2767063523665,3497.776134708833,839.4647667869722,3334.2482715755687,310.9713329354454,2089.87324,2624.8961845499043,2623.4821031296506,3489.032932673604
0.008,1,17650,2000,-0.14,1200,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,3692.695268418645,3700.970988430113,3666.5198435700304,3677.6414155303255,3643.547923241984,3637.044528255784,5313.098019336334,7009.314956810233,3667.0008246147854,2661.2953590118177,2647.2767063523665,3708.701786326971,868.205234138167,3622.3993669534216,295.7827674073717,2139.35588,2786.4893923558925,2784.588456265202,3706.563715862046
0.008,1,17650,2000,-0.14,1300,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,3939.136294750921,3904.153129831867,3933.249352393679,3875.9310215395553,3899.5797305802807,3851.838709468204,6294.116824496079,7009.314956810233,3909.325905462301,2661.2953590118177,2647.2767063523665,3876.6766844610097,899.5079928183131,3880.0114863713097,281.8471242970645,2210.75688,2948.08260016188,2945.694809400753,3938.878116895569
0.008,1,17650,2000,-0.14,1400,202,1717.0784426362372,2523.3834803638865,628.5232362154733,125.0,4229.171469724203,4140.64989678085,4207.698464683558,4145.406581116946,4171.382783047615,4155.957806323579,7217.026288949399,7009.314956810233,4189.653991192703,2661.2953590118177,2647.2767063523665,4001.9727209599178,930.135385806623,4107.4781425262045,267.7928012484954,2295.2713,3109.6758079678684,3106.801162536304,4220.980632294329
