Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,Enthalpy value of water,Enthalpy value of air,Enthalpy Temperature,H/D,110 AI Data,111 AI Data,112 AI Data,113 AI Data,114 AI Data,115 AI Data,116 AI Data,117 AI Data,118 AI Data,119 AI Data,120 AI Data,200 AI Data,201 AI Data,300 AI Data,301 AI Data,401 AI Data,501 AI Data,601 AI Data,801 AI Data
0.0081,1.94,9831,1519,-0.5,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,5890.126140457811,9017.385583758609,1595.9097511454652,1559.8971492319545,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,-0.4,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,5907.327616401587,8623.651275008415,1394.8582277000994,1524.246492669726,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,-0.3,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,5723.021751607139,7815.239585429118,1329.9717976654404,1548.594379284385,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,-0.2,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,5292.725294011087,6730.690891104659,1332.0091840396326,1812.2475897922752,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,-0.1,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,4605.918704337554,5524.050803218535,1351.1498579194697,1920.6691723955144,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,-1.1102230246251563e-16,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,3820.050321208552,4271.654903163635,1365.3664053440805,1934.3322358634464,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,0.0999999999999998,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,3101.3013724202106,3402.8902433496182,1376.1258659339949,1914.121355442016,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,0.1999999999999998,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,2336.530743735693,2510.866687337657,1384.9150118654256,1887.6330913196907,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,0.2999999999999998,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,1821.1696088125584,1885.4054233418465,1392.6620321998876,1862.8417914105185,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,0.3999999999999998,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,1216.7011885319362,1170.2956724805172,1399.6331267029789,1842.0010819642105,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,0.4999999999999998,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,908.2571992980986,529.8751983409184,1406.0283721051508,1825.3119765332733,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,0.5999999999999996,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,719.8769412274917,280.3837845307248,1411.9961183292305,1812.2916915798849,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,0.6999999999999997,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,632.3437985613182,117.82006545226182,1417.6512505912335,1802.2974485895013,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,0.7999999999999998,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,544.8468954925997,50.0,1423.0805494455371,1794.7127593576442,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,0.8999999999999997,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,478.7901731170935,50.0,1428.350137927287,1788.9981211074116,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
0.0081,1.94,9831,1519,0.9999999999999996,444,218,1400.535091496541,2728.5313199122897,582.8989809995097,239.5061728395061,1463.2672746792505,1500.4837285084766,1457.0476300490395,1477.8164769428026,1454.8547549307934,1478.62055486984,1463.266966358068,1856.9657825967497,1479.7862935439914,451.281282871028,50.0,1433.5098217659704,1784.719216019175,1481.147009790575,1575.8071626101464,1927.80004,1685.1884744127212,1689.4840211384326,1534.0808979861733
