Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,Enthalpy value of water,Enthalpy value of air,Enthalpy Temperature,H/D,121 AI Data,202 AI Data,302 AI Data,401 AI Data,501 AI Data,701 AI Data,801 AI Data,601 AI Data,LUT Data,X Data
0.002,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,1000.0,772.1954409175694,1109.3896689123867,670.4910028895756,1287.152,1618.0473884344503,1283.1507748911504,1504.883915045256,1618.143043763921,314.0977789531306,0.6148457792185339
0.003,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,666.6666666666666,899.8572021330552,1162.406776968061,786.976073804135,1287.152,1645.402258309654,1320.916052788784,1507.2148216521189,1645.4843530450985,406.74418316982013,0.530753832769129
0.004,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,500.0,1015.432156350799,1153.22335939521,926.5064929222128,1287.152,1672.7571281848582,1358.68133068641,1509.5457282589828,1672.8256623262755,477.17053139064694,0.4669478946374006
0.005,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,400.0,1110.4938856521153,1124.6201661212854,1070.305547661447,1285.692,1700.111998060062,1396.4466085840515,1511.876634865848,1700.166971607453,567.7537133606683,0.4444559029443551
0.006,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,333.3333333333333,1226.1405601203196,1178.2919111985238,1151.2001557954145,1285.49,1727.466867935266,1434.211886481687,1514.2075414727117,1727.5082808886302,668.1736363264604,0.43588328200335547
0.007,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,285.7142857142857,1340.6693568487074,1247.0198808654864,1244.635846614069,1351.81,1754.8217378104698,1471.9771643793204,1516.5384480795767,1754.8495901698077,763.5367024158928,0.42693018190033766
0.008,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,250.0,1456.5780094540105,1320.4717579551398,1340.1975305713725,1418.3387,1782.1766076856736,1509.742442276955,1518.86935468644,1782.190899450985,853.7892971199134,0.4177130301406926
0.009,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,222.2222222222222,1570.2361545969472,1375.9959915651054,1431.5890045157903,1476.2062,1809.5314775608776,1547.5077201745898,1521.2002612933045,1809.5322087321624,938.9489029605165,0.40832745306633667
0.01,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,200.0,1678.7566371487378,1429.9341972950965,1524.7970831506916,1632.5497000000005,1836.8863474360808,1585.2729980722245,1523.531167900168,1836.87351801334,1016.933143032174,0.39800827468577055
0.011,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,181.8181818181818,1772.2541700815043,1533.2349089531306,1597.1349009397895,1638.9947000000002,1864.2412173112853,1623.038275969859,1525.8620745070325,1864.214827294517,1073.2204743136983,0.3818388923566626
0.012,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,166.66666666666666,1815.2126078781523,1678.640969271259,1655.408434534421,1668.994,1891.5960871864893,1660.8035538674928,1528.1929811138973,1891.5561365756944,1123.0771504847723,0.36626524001222033
0.013,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,153.84615384615384,1839.0899133587136,1809.519130021963,1728.3066616482977,1690.9490000000003,1918.950957061693,1698.5688317651277,1530.523887720761,1918.897445856872,1167.0837147669413,0.35132477147919
0.014,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,142.85714285714286,1854.5948994296173,1894.677910160929,1806.8316791923985,1693.3200000000004,1946.305826936897,1736.334109662771,1532.8547943276235,1946.2387551380489,1199.2423947654222,0.33520363827934474
0.015,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,133.33333333333331,1886.3888018950352,1933.789898903367,1892.9405440143576,1693.3200000000004,1973.6606968121007,1774.0993875603958,1535.1857009344894,1973.580064419226,1225.979848379502,0.3198162631503455
0.016,2,10000,1550,0.334,451,221,1407.8675005682433,2725.472566438741,584.1494879985282,125.0,1911.0105488708275,1954.059111320832,1981.572353638974,1709.7000000000005,2001.015566687305,1811.864665458029,1537.516607541352,2000.921373700404,1248.515993460609,0.30532373097619275
