Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,Enthalpy value of water,Enthalpy value of air,Enthalpy Temperature,H/D,121 AI Data,202 AI Data,302 AI Data,401 AI Data,501 AI Data,701 AI Data,801 AI Data,601 AI Data,LUT Data,X Data
0.008,1.9,0,1544,0.32,438,234,,,,237.5,1964.3989230643024,2576.452152644165,2048.1566135577978,2288.4789,2587.104175414248,1980.20623762518,1889.3530669011047,2586.9726562100177,,
0.008,1.9,1500,1544,0.32,438,234,844.7169147855876,2791.010536295325,471.4452428824141,237.5,2139.8989570079407,2493.3588824405256,2223.887591925662,2306.2389000000003,2476.022361435196,1918.392163703668,3444.897821528117,2475.909735141752,1442.8748887403908,0.4559133466460951
0.008,1.9,3000,1544,0.32,438,234,1008.3713699254112,2803.264738970161,507.0084450062522,237.5,2229.3975760617336,2377.777002854682,2189.282049304172,2370.5576,2364.940547456142,1856.5780897821533,2067.046978284688,2364.846814073487,1613.1550209788227,0.5527414956239882
0.008,1.9,4500,1544,0.32,438,234,1122.142992781657,2797.9970220803752,530.5893713108469,237.5,2170.0341745208684,2076.8094702591247,2156.141459205976,2345.9392,2253.858733477089,1794.7640158606396,1951.135534530792,2253.783893005222,1510.3624777397747,0.5542638688980871
0.008,1.9,6000,1544,0.32,438,234,1213.7310823707326,2784.561732103704,548.7364107560508,237.5,2011.8665937310475,1877.4560553728384,1953.3720887165944,2243.5485,2142.776919498036,1732.9499419391286,1800.0425056173951,2142.720971936957,1384.9824571922975,0.5422105148240989
0.008,1.9,7500,1544,0.32,438,234,1292.696357315679,2765.820769483408,563.6867383617717,237.5,1823.701769157484,1662.7393161405166,1706.8497604601862,1982.6786,2031.6951055189832,1671.1358680176156,1666.4962483562642,2031.658050868692,1224.8881413535103,0.5113059440861946
0.008,1.9,9000,1544,0.32,438,234,1363.65073789756,2742.8819455290545,576.4968049748147,237.5,1623.64535232875,1471.549255982425,1472.7329958702337,1786.3079999999995,1920.6132915399303,1609.3217940961026,1588.3289353375694,1920.595129800427,1003.782420563402,0.4474769982122712
0.008,1.9,10500,1544,0.32,438,234,1429.2690229207622,2716.144231496298,587.7558483847924,237.5,1430.471031907918,1337.9824088939558,1327.1676876613255,1490.6206,1809.5314775608767,1547.5077201745894,1507.9803763927723,1809.5322087321613,852.4170542028089,0.40722006424531426
0.008,1.9,12000,1544,0.32,438,234,1491.327052267867,2685.582734291745,597.8283043018174,237.5,1261.6185568203282,1244.6349453675348,1221.811588415442,1231.3664,1698.4496635818243,1485.6936462530762,1362.4420348421952,1698.4692876638967,710.2582308533234,0.3655609294906298
0.008,1.9,13500,1544,0.32,438,234,1551.1915518335943,2650.774869127902,606.956030413917,237.5,1139.6782406381046,1174.9397009999177,1139.4279787059422,1199.524,1587.3678496027712,1423.8795723315632,1229.7124345382206,1587.4063665956314,625.8545590373353,0.3498060584348494
0.008,1.9,15000,1544,0.32,438,234,1610.1517856556293,2610.8647587695787,615.3078712489821,237.5,1064.8536227757486,1114.636868532882,1091.8940071264446,1101.0499,1476.286035623718,1362.065498410051,1178.0341329881962,1476.3434455273664,558.0867976759945,0.3427000849031829
0.008,1.9,16500,1544,0.32,438,234,1669.68361979341,2564.5660388557776,623.0061528612805,237.5,1009.6414576365364,1053.3239758718614,1040.7880634962355,1049.2743,1365.2042216446653,1300.251424488538,1126.355831438172,1365.2805244591011,514.8084473033077,0.3534720265187868
0.008,1.9,18000,1544,0.32,438,234,1732.0233657752308,2509.529689109513,630.1418133443477,237.5,984.7870704700144,986.4788525155986,973.612846738548,1020.6143,1254.1224076656122,1238.4373505670246,1074.6775298881469,1254.2176033908363,471.4865004632373,0.37255074399994254
0.008,1.9,19500,1544,0.32,438,234,1801.080611192658,2440.0048040174115,636.7830647273038,237.5,951.0886087675422,915.3520966144848,909.1111066716368,1009.1343,1143.040593686559,1176.623276645511,1022.9992283381224,1143.154682322571,421.4402602216175,0.4051620873015207
0.008,1.9,21000,1544,0.32,438,234,1889.3963243039148,2337.5432149151534,642.9773430240623,237.5,909.1485795538216,844.4901174581263,858.881791314417,1007.7343,1031.9587797075062,1114.809202723996,943.4478315645944,1032.0917612543058,315.3172693867752,0.43193868345662995
