Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,Enthalpy value of water,Enthalpy value of air,Enthalpy Temperature,H/D,121 AI Data,202 AI Data,302 AI Data,401 AI Data,501 AI Data,701 AI Data,801 AI Data,601 AI Data,LUT Data,X Data
0.008,0,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,0.0,6881.507952600759,4993.127418976406,6904.669419305022,4551.0,2874.423417362176,2486.2579869531046,4048.5710343753058,2874.345093516379,4328.361934246348,-0.00033750665964178315
0.008,1,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,125.0,2355.388615940104,2598.317816569276,2328.3257478600963,2487.159,2767.934223382046,2392.3829602752826,2408.7712950703976,2767.8638050379573,1502.131876576642,0.34052113684618446
0.008,2,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,250.0,1513.4610619494365,1422.3684935329793,1394.576279837178,1639.804,2661.4450294019166,2298.507933597417,1574.859034404641,2661.382516559536,903.1296092657388,0.409532676277735
0.008,3,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,375.0,1104.1036682569202,932.675572878488,1032.6815406629376,1208.21,2554.955835421787,2204.632906919531,1329.209913027853,2554.901228081114,635.2960651928306,0.43214014403716483
0.008,4,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,500.0,861.7692903399006,759.075568222222,812.271692299879,1100.97,2448.466641441657,2110.757880241707,1115.19309669469,2448.4199396026925,489.9852616571575,0.4444056326895738
0.008,5,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,625.0,696.2918886524526,666.749027282217,679.5856239618565,739.2639999999999,2341.977447461527,2016.8828535638472,901.1762803615276,2341.9386511242706,404.70824959261057,0.4588375735142067
0.008,6,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,750.0,576.1625562283841,588.825259761074,565.56807118814,599.054,2235.488253481397,1923.007826886004,773.7944357779672,2235.457362645849,354.43284450675117,0.4822226485824345
0.008,7,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,875.0,495.6839919547269,513.8691547728736,475.67318826374753,575.214,2128.999059501268,1829.1328002081484,704.8309816574372,2128.976074167427,315.3796584710458,0.5006166304333978
0.008,8,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,1000.0,439.184846765585,442.6790270102417,395.0518475655624,575.214,2022.5098655211373,1735.2577735302966,635.8675275369062,2022.4947856890053,287.36866688997276,0.5213322375730765
0.008,9,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,1125.0,397.9422875007872,379.2898995060296,315.67043236144946,345.605,1916.020671541008,1641.3827468524432,566.9040734163739,1916.013497210584,,
0.008,10,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,1250.0,365.8634132531579,326.6063475358301,282.8726479842044,345.605,1809.5314775608776,1547.5077201745898,497.9406192958437,1809.5322087321624,,
0.008,11,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,1375.0,341.3396412623697,285.58568465440135,267.85541416556407,345.605,1703.0422835807478,1453.6326934967365,428.9771651753122,1703.0509202537403,,
0.008,12,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,1500.0,320.0132073684988,255.4682074679763,252.8381803469236,345.605,1596.553089600618,1359.757666818883,362.63426329298346,1596.5696317753188,,
0.008,13,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,1625.0,302.2827471435494,234.6253160563768,237.82094652828323,263.05,1490.063895620488,1265.8826401410313,317.7285160241841,1490.0883432968972,,
0.008,14,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,1750.0,287.38039854092426,221.44444320091569,222.80371270964287,263.05,1383.5747016403582,1172.0076134631763,272.8227687553861,1383.6070548184755,,
0.008,15,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,1875.0,274.1058909140286,214.09805066763693,207.7864788910024,263.05,1277.0855076602284,1078.1325867853325,227.91702148658604,1277.1257663400538,,
0.008,16,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,2000.0,261.5421347639185,210.72397338208475,192.76924507236208,261.27,1170.5963136800983,984.2575601074726,183.0112742177876,1170.644477861632,,
0.008,17,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,2125.0,249.00636469037704,210.33748092127007,176.6274453159458,261.27,1064.1071196999685,890.3825334296491,138.10552694898982,1064.1631893832102,,
0.008,18,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,2250.0,238.1182630163032,212.19044379427805,159.4324203999895,213.325,957.6179257198388,796.5075067517627,93.19977968019025,957.6819009047888,,
0.008,19,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,2375.0,228.6566923027774,215.7113768307732,142.23720574792085,213.325,851.1287317397089,702.6324800738971,48.294032411390646,851.200612426367,,
0.008,20,9841,1660,0.327,448,221,1400.970433452506,2728.351648612794,582.9734361136688,2500.0,220.3783159857373,220.4672073543636,125.04218083196474,213.325,744.6395377595791,608.7574533960753,3.388285142592199,744.7193239479452,,
