Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,Enthalpy value of water,Enthalpy value of air
1,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-1.2786375779639265,1.7755363433628264,-0.4705329673474106,-1.923053262399764,-0.8582674022791379,-2.790439520441335,-0.17005260629633379
2,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-1.235493038400489,1.5921767208364928,-0.4705329673474106,-1.923053262399764,-0.6603560729728778,-2.790439520441335,-0.17005260629633379
3,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-1.1949954031047467,1.2621294002890917,-0.4705329673474106,-1.923053262399764,-0.5215039974913428,-2.790439520441335,-0.17005260629633379
4,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-1.1500642031606145,1.3721451738048922,-0.4705329673474106,-1.923053262399764,-0.3034873902873038,-2.790439520441335,-0.17005260629633379
5,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-1.051136156155493,0.9687540042469579,-0.4705329673474106,-1.923053262399764,-0.006306251360760774,-2.790439520441335,-0.17005260629633379
6,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-0.9702070581707011,0.8220663062258907,-0.4705329673474106,-1.923053262399764,0.27076960966800345,-2.790439520441335,-0.17005260629633379
8,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-0.6824223916655009,0.5286909101837568,-0.4705329673474106,-1.923053262399764,1.1032537726229075,-2.790439520441335,-0.17005260629633379
9,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-0.42156997608410307,0.3453312876574231,-0.4705329673474106,-1.923053262399764,1.7371983163372455,-2.790439520441335,-0.17005260629633379
10,1,-1.9849769452543127,-1.0909572636819076,-1.7095612191261527,-0.24171283109418956,0.23531551414162274,-0.4705329673474106,-1.923053262399764,2.1537545427818503,-2.790439520441335,-0.17005260629633379
12,1,-1.9849769452543127,-0.994065535828982,-1.7095612191261527,-1.2399927756555713,1.6655205698470263,-0.44924681117406046,-1.941671526466913,-0.8186851364178859,-2.790439520441335,-0.17005260629633379
13,1,-1.9849769452543127,-0.994065535828982,-1.7095612191261527,-1.1949954031047467,1.4454890228154258,-0.44924681117406046,-1.941671526466913,-0.6999383388341298,-2.790439520441335,-0.17005260629633379
14,1,-1.9849769452543127,-0.994065535828982,-1.7095612191261527,-1.1590636776707794,1.2988013247943586,-0.4279606550007103,-1.9602897905340628,-0.600668529213847,-2.790439520441335,-0.17005260629633379
16,1,-1.9849769452543127,-0.994065535828982,-1.7095612191261527,-0.9702070581707011,0.8954101552364243,-0.4279606550007103,-1.9602897905340628,-0.18474059270354773,-2.790439520441335,-0.17005260629633379
17,1,-1.9849769452543127,-0.994065535828982,-1.7095612191261527,-0.8712790111655794,0.8220663062258907,-0.4279606550007103,-1.9602897905340628,0.052753002463964485,-2.790439520441335,-0.17005260629633379
18,1,-1.9849769452543127,-0.994065535828982,-1.7095612191261527,-0.673422917155336,0.7487224572153576,-0.4279606550007103,-1.9602897905340628,0.5088914947698213,-2.790439520441335,-0.17005260629633379
20,1,-1.9849769452543127,-0.8971738079760564,-1.7095612191261527,-1.2399927756555713,1.4821609473206925,-0.4279606550007103,-1.9602897905340628,-0.9179549460381687,-2.790439520441335,-0.17005260629633379
21,1,-1.9849769452543127,-0.8971738079760564,-1.7095612191261527,-1.1859959285945818,1.3354732492996253,-0.4279606550007103,-1.9602897905340628,-0.7992081484544127,-2.790439520441335,-0.17005260629633379
22,1,-1.9849769452543127,-0.8971738079760564,-1.7095612191261527,-1.1680631521809446,1.4454890228154258,-0.4279606550007103,-1.9602897905340628,-0.7395206046953818,-2.790439520441335,-0.17005260629633379
24,1,-1.9849769452543127,-0.8971738079760564,-1.7095612191261527,-0.9702070581707011,0.8954101552364243,-0.4340424139073818,-1.9549384331973971,-0.4228624778053655,-2.790439520441335,-0.17005260629633379
25,1,-1.9849769452543127,-0.8971738079760564,-1.7095612191261527,-0.8622795366554145,0.8220663062258907,-0.4340424139073818,-1.9549384331973971,-0.22432285856479978,-2.790439520441335,-0.17005260629633379
26,1,-1.9849769452543127,-0.8971738079760564,-1.7095612191261527,-0.8532800621452495,0.8587382307311575,-0.44924681117406046,-1.941671526466913,-0.20484587060132653,-2.790439520441335,-0.17005260629633379
28,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.2777773340769256,2.1789275129207604,-0.4340424139073818,-1.9549384331973971,-1.0128267261183126,-2.790439520441335,-0.17005260629633379
29,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.2399927756555713,1.9588959658891605,-0.4340424139073818,-1.9549384331973971,-0.9380602239359476,-2.790439520441335,-0.17005260629633379
30,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.1949954031047467,1.6288486453417597,-0.4340424139073818,-1.9549384331973971,-0.8582674022791379,-2.790439520441335,-0.17005260629633379
32,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.051136156155493,1.3354732492996253,-0.4340424139073818,-1.9549384331973971,-0.6207738071116257,-2.790439520441335,-0.17005260629633379
33,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.051136156155493,1.4088170983101589,-0.4340424139073818,-1.9549384331973971,-0.6207738071116257,-2.790439520441335,-0.17005260629633379
34,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.051136156155493,1.2621294002890917,-0.4340424139073818,-1.9549384331973971,-0.640250795075099,-2.790439520441335,-0.17005260629633379
35,1,-1.9849769452543127,-0.7997927279622573,-1.7095612191261527,-1.051136156155493,1.5921767208364928,-0.4340424139073818,-1.9549384331973971,-0.5811915412503736,-2.790439520441335,-0.17005260629633379
37,1,-1.6629208004150657,-1.0508303864902921,-1.7095612191261527,-1.2399927756555713,1.7388644188575595,-0.46445120844073917,-1.928293133125249,-0.6603560729728778,-2.790439520441335,-0.17005260629633379
38,1,-1.6629208004150657,-1.0508303864902921,-1.7095612191261527,-1.1949954031047467,1.4088170983101589,-0.46445120844073917,-1.928293133125249,-0.4819217316300908,-2.790439520441335,-0.17005260629633379
39,1,-1.6629208004150657,-1.0508303864902921,-1.7095612191261527,-1.1410647286504496,1.225457475783825,-0.46445120844073917,-1.928293133125249,-0.3034873902873038,-2.790439520441335,-0.17005260629633379
