Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,Hw,Hg,Tsat,H/D,TinK,RQufP,Roufg,Rouin,Sigmaf
3442,13,0.01,2.0,9800.0,1334.0,0.359,559.0,196.55,1717.0,1399.1843340369703,2729.08724642355,582.6677976573421,200.0,469.7,691.7453887617045,54.08976404651901,868.6639004314725,0.0384607424628967
3443,13,0.01,2.0,9800.0,1497.0,0.312,552.0,198.13,1795.0,1399.1843340369703,2729.08724642355,582.6677976573421,200.0,471.28,691.7453887617045,54.08976404651901,866.8413346304568,0.0381010215733592
3444,13,0.01,2.0,9800.0,1638.0,0.29,538.0,201.27,1878.0,1399.1843340369703,2729.08724642355,582.6677976573421,200.0,474.42,691.7453887617045,54.08976404651901,863.1807653442305,0.0373843887814865
4804,15,0.0128,1.93,10343.0,1207.0,0.343,403.0,236.03,1697.0,1422.593807837813,2719.118383605557,586.6380544514933,150.78125,509.18,682.7049054923184,57.82757699217783,818.908692024826,0.0293250432686925
4807,15,0.0128,1.93,10343.0,1356.0,0.251,501.0,214.68,1858.0,1422.593807837813,2719.118383605557,586.6380544514933,150.78125,487.83,682.7049054923184,57.82757699217783,846.9482970354906,0.0342998727911804
4818,15,0.0128,1.93,10343.0,1966.0,0.117,465.0,222.6,2009.0,1422.593807837813,2719.118383605557,586.6380544514933,150.78125,495.75,682.7049054923184,57.82757699217783,836.8788089025345,0.0324621967018124
4819,15,0.0128,1.93,10343.0,1980.0,0.16,332.0,251.04,1773.0,1422.593807837813,2719.118383605557,586.6380544514933,150.78125,524.1899999999999,682.7049054923184,57.82757699217783,797.3403705252119,0.0257982426976383
6449,20,0.0128,1.93,10343.0,1206.8,0.343,403.0,236.03,1697.2,1422.593807837813,2719.118383605557,586.6380544514933,150.78125,509.18,682.7049054923184,57.82757699217783,818.908692024826,0.0293250432686925
6452,20,0.0128,1.93,10343.0,1356.0,0.251,504.0,214.02,1858.1,1422.593807837813,2719.118383605557,586.6380544514933,150.78125,487.17,682.7049054923184,57.82757699217783,847.7707505241593,0.0344525196722553
6465,20,0.0128,1.93,10343.0,1966.2,0.117,471.0,221.29,2018.9,1422.593807837813,2719.118383605557,586.6380544514933,150.78125,494.44,682.7049054923184,57.82757699217783,838.5703084399478,0.0327668711726972
6466,20,0.0128,1.93,10343.0,1979.8,0.16,337.0,249.99,1766.6,1422.593807837813,2719.118383605557,586.6380544514933,150.78125,523.14,682.7049054923184,57.82757699217783,798.904776989525,0.0260453575666604
7035,24,0.0113,1.829,10343.0,1350.6,0.277,433.0,229.56,1653.0,1422.593807837813,2719.118383605557,586.6380544514933,161.858407079646,502.71,682.7049054923184,57.82757699217783,827.7123625676442,0.0308392504939178
8917,31,0.00578,2.0,9800.0,1493.0,0.421,553.0,197.9,1197.0,1399.1843340369703,2729.08724642355,582.6677976573421,346.0207612456747,471.05,691.7453887617045,54.08976404651901,867.10744618463,0.0381534230883638
8918,31,0.00578,2.0,9800.0,1493.0,0.441,457.0,219.26,1123.0,1399.1843340369703,2729.08724642355,582.6677976573421,346.0207612456747,492.41,691.7453887617045,54.08976404651901,841.1709159770562,0.0332384591605215
8919,31,0.00578,2.0,9800.0,1493.0,0.453,368.0,238.53,1044.0,1399.1843340369703,2729.08724642355,582.6677976573421,346.0207612456747,511.68,691.7453887617045,54.08976404651901,815.4305459957228,0.0287387775105126
9154,31,0.00795,2.0,9800.0,1495.0,0.367,549.0,198.8,1535.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,471.95,691.7453887617045,54.08976404651901,866.0645769386662,0.0379483023585174
9155,31,0.00795,2.0,9800.0,1495.0,0.39,459.0,218.82,1465.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,491.97,691.7453887617045,54.08976404651901,841.73132944236,0.0333405859926655
9156,31,0.00795,2.0,9800.0,1495.0,0.407,366.0,238.95,1349.0,1399.1843340369703,2729.08724642355,582.6677976573421,251.57232704402517,512.0999999999999,691.7453887617045,54.08976404651901,814.8419160691385,0.0286402287343343
9276,31,0.0085,1.8,9800.0,1645.0,0.336,401.0,231.45,1651.0,1399.1843340369703,2729.08724642355,582.6677976573421,211.76470588235293,504.6,691.7453887617045,54.08976404651901,825.1695289047238,0.0303974220908792
9277,31,0.0085,1.8,9800.0,1655.0,0.359,301.0,252.62,1523.0,1399.1843340369703,2729.08724642355,582.6677976573421,211.76470588235293,525.77,691.7453887617045,54.08976404651901,794.9696025975793,0.0254263358468732
