Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,Hw,Hg,Tsat,H/D,TinK,RQufP,Roufg,Rouin,Sigmaf
158,2,0.00802,1.57,7840.0,1606.0,0.398,439.0,203.52,2080.0,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068,476.67,724.9627332890012,41.52662632637197,860.5257860105273,0.0368694943135348
159,2,0.00802,1.57,7840.0,1595.0,0.432,300.0,233.95,1880.0,1309.3651770187196,2760.967005557745,566.7518420847525,195.76059850374068,507.1,724.9627332890012,41.52662632637197,821.769613590359,0.0298123456899926
309,2,0.0077,2.6,11760.0,1963.0,0.238,472.0,233.8,1104.0,1481.5782120188187,2690.741924269665,596.2854281986647,337.6623376623377,506.95,659.1667067692943,68.21950352027254,821.9747916832258,0.0298474700274175
399,2,0.0077,2.6,14710.0,1235.0,0.381,424.0,268.36,755.0,1598.758242846061,2619.0332873325,613.7474290395218,337.6623376623377,541.51,608.7254400350105,93.80865693421136,770.1735077159581,0.0217221277955899
402,2,0.0077,2.6,14710.0,1426.0,0.321,388.0,275.6,755.0,1598.758242846061,2619.0332873325,613.7474290395218,337.6623376623377,548.75,608.7254400350105,93.80865693421136,757.9697460694157,0.0200227592708179
452,2,0.00802,1.57,14710.0,1601.0,0.151,513.0,249.94,1370.0,1598.758242846061,2619.0332873325,613.7474290395218,195.76059850374068,523.0899999999999,608.7254400350105,93.80865693421136,798.9790535465984,0.0260571240504139
453,2,0.00802,1.57,14710.0,1601.0,0.17,362.0,280.73,1110.0,1598.758242846061,2619.0332873325,613.7474290395218,195.76059850374068,553.88,608.7254400350105,93.80865693421136,748.9762324129923,0.0188223027433022
576,2,0.00802,1.57,17650.0,1601.0,0.109,511.0,274.79,1230.0,1717.0784426362372,2523.3834803638865,628.5232362154733,195.76059850374068,547.94,551.4216870542491,128.2545173155215,759.3626721510402,0.0202126186577065
577,2,0.00802,1.57,17650.0,1601.0,0.159,394.0,297.57,1089.0,1717.0784426362372,2523.3834803638865,628.5232362154733,195.76059850374068,570.72,551.4216870542491,128.2545173155215,717.0855760944241,0.0149169741743523
8061,31,0.00795,2.0,5880.0,1439.0,0.531,529.0,159.9,1953.0,1206.9507901108882,2785.8539895940166,547.4213453152455,251.57232704402517,433.05,760.2508269690293,30.149924681014948,907.5482297717076,0.0466123690416395
