Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,CHF LUT,AI CHF
-,-,m,m,kPa,kg/m^2/s,-,kJ/kg,C,kW/m^2,kW/m^2,kW/m^2
1,1,0.004,0.396,100,77.5,0.84,317,23.94,442,469.094638639156,625.7833878733636
2,1,0.004,0.396,100,142.7,0.79,317,23.94,757,687.089931714041,750.1963925054911
3,1,0.004,0.396,100,203.9,0.7,317,23.94,978,903.629433347819,898.4526805615376
4,1,0.004,0.396,100,271.8,0.73,317,23.94,1325,873.622084295961,1075.4954944100468
5,1,0.004,0.396,100,421.3,0.62,317,23.94,1798,1372.80114662612,1592.244144323319
6,1,0.004,0.396,100,543.6,0.58,317,23.94,2239,1459.50097984951,2102.7439776791093
7,1,0.004,0.396,100,679.5,0.55,317,23.94,2712,1403.39341440738,2436.519445533921
8,1,0.004,0.396,100,978.5,0.5,317,23.94,3564,1661.54537229653,2919.8274139703344
9,1,0.004,0.396,100,1372.7,0.45,317,23.94,4573,1548.74543581995,3538.4270967753882
10,1,0.004,0.396,100,1644.5,0.42,317,23.94,5236,1621.25018526383,3939.2911194185813
11,1,0.004,0.594,100,77.5,0.88,324,22.27,300,429.072394823997,492.2510964743526
12,1,0.004,0.594,100,135.9,0.81,324,22.27,505,648.410625097712,573.4871821764846
13,1,0.004,0.594,100,203.9,0.75,324,22.27,694,797.682563662466,683.7088742869412
14,1,0.004,0.594,100,258.2,0.71,331,20.6,852,910.584252804857,804.2163507828818
15,1,0.004,0.594,100,407.7,0.63,331,20.6,1199,1312.34705236858,1203.2585272754886
16,1,0.004,0.594,100,543.6,0.6,331,20.6,1514,1397.22263494932,1693.9112992052399
17,1,0.004,0.594,100,693.1,0.58,331,20.6,1892,1152.17370512681,2000.5397747312404
18,1,0.004,0.594,100,992.1,0.56,331,20.6,2618,1090.35571502545,2404.9871061578565
19,1,0.004,0.792,100,78.8,0.74,331,20.6,196,599.791730590277,395.85519026516477
20,1,0.004,0.792,100,135.9,0.76,331,20.6,347,745.335236519192,452.4181816561054
21,1,0.004,0.792,100,217.5,0.72,331,20.6,536,868.13620846616,557.0402867514429
22,1,0.004,0.792,100,244.6,0.75,331,20.6,631,816.820762248671,595.7960696599966
