Number,Reference ID,Tube Diameter,Heated Length,Pressure,Mass Flux,Outlet Quality,Inlet Subcooling,Inlet Temperature,CHF,CHF LUT,AI CHF
-,-,m,m,kPa,kg/m^2/s,-,kJ/kg,C,kW/m^2,kW/m^2,kW/m^2
1,1,0.004,0.396,100,77.5,0.84,317,23.94,442,469.094638639156,574.5205799122862
2,1,0.004,0.396,100,142.7,0.79,317,23.94,757,687.089931714041,758.0181688682108
3,1,0.004,0.396,100,203.9,0.7,317,23.94,978,903.629433347819,953.1638474961441
4,1,0.004,0.396,100,271.8,0.73,317,23.94,1325,873.622084295961,1193.2098655963878
5,1,0.004,0.396,100,421.3,0.62,317,23.94,1798,1372.80114662612,1785.890504474612
6,1,0.004,0.396,100,543.6,0.58,317,23.94,2239,1459.50097984951,2196.651257604958
7,1,0.004,0.396,100,679.5,0.55,317,23.94,2712,1403.39341440738,2496.8384055705046
8,1,0.004,0.396,100,978.5,0.5,317,23.94,3564,1661.54537229653,2982.0942523701187
9,1,0.004,0.396,100,1372.7,0.45,317,23.94,4573,1548.74543581995,3633.2207763840115
10,1,0.004,0.396,100,1644.5,0.42,317,23.94,5236,1621.25018526383,4070.875769624532
11,1,0.004,0.594,100,77.5,0.88,324,22.27,300,429.072394823997,416.534339411824
12,1,0.004,0.594,100,135.9,0.81,324,22.27,505,648.410625097712,518.1213307862859
13,1,0.004,0.594,100,203.9,0.75,324,22.27,694,797.682563662466,670.3659667915506
14,1,0.004,0.594,100,258.2,0.71,331,20.6,852,910.584252804857,841.0738238875809
15,1,0.004,0.594,100,407.7,0.63,331,20.6,1199,1312.34705236858,1357.488941432392
16,1,0.004,0.594,100,543.6,0.6,331,20.6,1514,1397.22263494932,1805.1730060984153
17,1,0.004,0.594,100,693.1,0.58,331,20.6,1892,1152.17370512681,2043.0196980525939
18,1,0.004,0.594,100,992.1,0.56,331,20.6,2618,1090.35571502545,2456.679239507107
19,1,0.004,0.792,100,78.8,0.74,331,20.6,196,599.791730590277,292.96281443787734
20,1,0.004,0.792,100,135.9,0.76,331,20.6,347,745.335236519192,363.7637934341219
21,1,0.004,0.792,100,217.5,0.72,331,20.6,536,868.13620846616,503.31299642732006
22,1,0.004,0.792,100,244.6,0.75,331,20.6,631,816.820762248671,550.4531232716499
23,1,0.004,0.792,100,407.7,0.64,329,21.08,915,1253.62395551138,1010.5133899407458
24,1,0.004,0.792,100,543.6,0.6,329,21.08,1135,1397.22263494932,1422.4094765332422
25,1,0.004,0.792,100,706.7,0.58,329,21.08,1451,1124.2161737808,1635.1960599411057
26,1,0.004,0.792,100,720.3,0.59,324,22.27,1482,1008.84389597135,1646.4167334445717
27,1,0.004,0.792,100,203.9,0.75,324,22.27,505,797.682563662466,477.62329602626824
28,1,0.004,0.991,100,78.8,0.95,329,21.08,196,207.380276786391,275.5110765619395
29,1,0.004,0.991,100,135.9,0.89,329,21.08,315,524.916405662468,284.16133565914515
30,1,0.004,0.991,100,203.9,0.8,329,21.08,442,691.735693977114,332.62050795638856
31,1,0.004,0.991,100,271.8,0.81,329,21.08,568,699.245309414672,437.6007399637476
32,1,0.004,0.991,100,421.3,0.72,329,21.08,820,850.379201555647,757.1783968350412
33,1,0.004,0.991,100,421.3,0.74,329,21.08,820,806.204685300005,757.1783968350412
34,1,0.004,0.991,100,421.3,0.7,329,21.08,789,894.553717811289,757.1783968350412
35,1,0.004,0.991,100,421.3,0.79,329,21.08,883,695.768394660899,757.1783968350412
36,1,0.0048,0.478,100,69.3,0.99,319,23.47,442,34.0603065409968,550.1692780476053
37,1,0.0048,0.478,100,135.9,0.83,319,23.47,757,563.731639109164,719.9675402211287
38,1,0.0048,0.478,100,203.9,0.74,319,23.47,1041,747.524386552049,936.7954079535505
39,1,0.0048,0.478,100,285.4,0.69,319,23.47,1325,907.899850239037,1227.6552235050444
40,1,0.0048,0.478,100,407.7,0.58,319,23.47,1672,1376.97777740829,1717.6502040503638
41,1,0.0048,0.478,100,543.6,0.55,319,23.47,2145,1417.61415147225,2181.2370484052967
42,1,0.0048,0.478,100,665.9,0.54,319,23.47,2586,1358.75936702728,2460.6778332063914
43,1,0.0048,0.478,100,706.7,0.53,319,23.47,2649,1405.4863947015,2526.8911827426255
44,1,0.0048,0.478,100,937.8,0.48,319,23.47,3280,1631.62013236851,2901.9519953555655
45,1,0.0048,0.478,100,1386.3,0.43,319,23.47,4510,1561.4471479517,3661.4415565235367
46,1,0.0048,0.716,100,135.9,0.89,326,21.79,536,479.180926976444,477.19050795404496
47,1,0.0048,0.716,100,203.9,0.77,317,23.94,694,689.494896128321,602.2586713820453
48,1,0.0048,0.716,100,271.8,0.71,317,23.94,883,837.680725680624,800.6917178921964
49,1,0.0048,0.716,100,407.7,0.63,317,23.94,1167,1198.00347309614,1255.0603755316938
